timestamp,device_id,state,cpu_load,memory_usage,temperature,battery,network_latency,normal_probability,fault_probability
2026-09-20 10:32:36,DT-001,NORMAL,27.74,38.43,40.92,99.99,20.67,98.18,1.82
2026-09-20 10:32:37,DT-001,NORMAL,25.57,38.59,40.8,99.96,20.58,98.67,1.33
2026-09-20 10:32:38,DT-001,NORMAL,24.99,39.88,40.82,99.96,21.28,98.67,1.33
2026-09-20 10:32:39,DT-001,NORMAL,22.76,40.61,40.53,99.91,20.95,98.04,1.96
2026-09-20 10:32:40,DT-001,NORMAL,21.88,39.81,40.78,99.87,19.41,97.8,2.2
2026-09-20 10:32:41,DT-001,NORMAL,20.85,38.46,40.25,99.83,17.84,98.1,1.9
2026-09-20 10:32:42,DT-001,NORMAL,20.13,38.63,39.72,99.79,14.78,98.81,1.19
2026-09-20 10:32:43,DT-001,NORMAL,17.18,37.23,40.23,99.77,13.27,97.02,2.98
2026-09-20 10:32:44,DT-001,NORMAL,17.79,38.42,39.84,99.76,15.99,97.37,2.63
2026-09-20 10:32:45,DT-001,NORMAL,16.49,39.69,40.07,99.75,15.14,98.22,1.78
2026-09-20 10:32:46,DT-001,NORMAL,16.12,40.16,39.59,99.73,14.73,98.0,2.0
2026-09-20 10:32:47,DT-001,NORMAL,15.72,38.33,38.92,99.72,12.29,97.27,2.73
2026-09-20 10:32:48,DT-001,NORMAL,13.06,39.0,38.92,99.72,10.39,97.9,2.1
2026-09-20 10:32:49,DT-001,NORMAL,10.25,38.81,38.46,99.7,10.27,97.9,2.1
2026-09-20 10:32:50,DT-001,NORMAL,13.23,37.2,38.91,99.66,11.32,96.9,3.1
2026-09-20 10:32:51,DT-001,NORMAL,14.24,36.34,39.46,99.61,13.03,95.94,4.06
2026-09-20 10:32:52,DT-001,NORMAL,13.79,35.18,39.41,99.61,15.93,95.82,4.18
2026-09-20 10:32:53,DT-001,NORMAL,14.33,36.55,39.05,99.6,16.5,95.65,4.35
2026-09-20 10:32:54,DT-001,NORMAL,11.78,37.67,39.43,99.59,18.81,96.79,3.21
2026-09-20 10:32:55,DT-001,NORMAL,11.94,35.7,38.88,99.55,18.67,95.74,4.26
2026-09-20 10:32:56,DT-001,NORMAL,11.53,37.22,38.58,99.53,22.52,93.51,6.49
2026-09-20 10:32:57,DT-001,NORMAL,9.77,37.24,37.77,99.5,24.42,93.0,7.0
2026-09-20 10:32:58,DT-001,NORMAL,6.84,37.01,38.28,99.49,22.09,93.51,6.49
2026-09-20 10:32:59,DT-001,NORMAL,9.57,38.61,38.2,99.47,20.1,94.78,5.22
2026-09-20 10:33:00,DT-001,NORMAL,12.22,39.72,37.97,99.44,21.21,94.89,5.11
2026-09-20 10:33:01,DT-001,NORMAL,10.45,39.87,37.93,99.41,19.5,96.55,3.45
2026-09-20 10:33:02,DT-001,NORMAL,12.53,39.61,38.31,99.38,18.61,97.3,2.7
2026-09-20 10:33:03,DT-001,NORMAL,10.38,40.1,37.46,99.34,19.95,96.2,3.8
2026-09-20 10:33:04,DT-001,NORMAL,12.34,38.41,37.91,99.33,23.38,92.99,7.01
2026-09-20 10:33:05,DT-001,NORMAL,11.81,40.39,36.75,99.3,26.38,93.34,6.66
