timestamp,device_id,state,cpu_load,memory_usage,temperature,battery,network_latency,fault_type,anomaly
2026-09-20 10:28:55,DT-001,NORMAL,27.44,39.19,39.6,99.99,20.95,NORMAL,0
2026-09-20 10:28:56,DT-001,NORMAL,25.46,38.99,38.96,99.99,20.89,NORMAL,0
2026-09-20 10:28:57,DT-001,FAULT,24.41,95.47,40.52,99.99,22.45,HIGH_MEMORY,1
2026-09-20 10:28:58,DT-001,FAULT,23.1,97.71,41.64,99.99,20.03,HIGH_MEMORY,1
2026-09-20 10:28:59,DT-001,FAULT,25.45,93.28,43.27,99.98,19.37,HIGH_MEMORY,1
2026-09-20 10:29:00,DT-001,FAULT,26.55,88.42,43.99,99.97,16.98,HIGH_MEMORY,1
2026-09-20 10:29:01,DT-001,FAULT,24.62,90.47,44.07,99.97,18.01,HIGH_MEMORY,1
2026-09-20 10:29:02,DT-001,FAULT,23.59,87.57,45.89,99.96,18.8,HIGH_MEMORY,1
2026-09-20 10:29:03,DT-001,FAULT,22.42,95.27,47.77,99.96,19.23,HIGH_MEMORY,1
2026-09-20 10:29:04,DT-001,FAULT,24.66,88.16,48.23,99.95,18.05,HIGH_MEMORY,1
2026-09-20 10:29:05,DT-001,FAULT,27.23,91.88,48.53,99.95,20.49,HIGH_MEMORY,1
2026-09-20 10:29:06,DT-001,FAULT,26.14,90.99,48.16,99.94,22.59,HIGH_MEMORY,1
2026-09-20 10:29:07,DT-001,FAULT,29.21,94.41,48.45,99.94,20.22,HIGH_MEMORY,1
2026-09-20 10:29:08,DT-001,FAULT,28.87,99.57,49.22,99.93,20.35,HIGH_MEMORY,1
2026-09-20 10:29:09,DT-001,FAULT,26.35,94.61,49.23,99.93,19.06,HIGH_MEMORY,1
2026-09-20 10:29:10,DT-001,FAULT,26.36,92.51,49.73,99.92,17.88,HIGH_MEMORY,1
2026-09-20 10:29:11,DT-001,FAULT,28.95,87.29,50.11,99.91,18.68,HIGH_MEMORY,1
2026-09-20 10:29:12,DT-001,FAULT,29.27,85.29,51.04,99.91,17.86,HIGH_MEMORY,1
2026-09-20 10:29:13,DT-001,FAULT,31.39,99.2,50.28,99.91,20.11,HIGH_MEMORY,1
2026-09-20 10:29:14,DT-001,FAULT,31.17,92.13,50.95,99.9,18.1,HIGH_MEMORY,1
2026-09-20 10:29:15,DT-001,NORMAL,33.07,86.64,49.44,99.9,19.53,NORMAL,0
2026-09-20 10:29:16,DT-001,NORMAL,31.74,83.76,48.72,99.9,19.67,NORMAL,0
2026-09-20 10:29:17,DT-001,NORMAL,30.08,78.8,47.97,99.89,18.19,NORMAL,0
2026-09-20 10:29:18,DT-001,NORMAL,30.78,73.94,47.76,99.88,16.06,NORMAL,0
2026-09-20 10:29:19,DT-001,NORMAL,31.62,69.52,46.45,99.87,16.83,NORMAL,0
2026-09-20 10:29:20,DT-001,NORMAL,32.99,67.68,45.36,99.87,16.78,NORMAL,0
2026-09-20 10:29:21,DT-001,NORMAL,32.51,65.73,45.08,99.86,14.93,NORMAL,0
2026-09-20 10:29:22,DT-001,NORMAL,31.39,64.46,44.21,99.86,15.16,NORMAL,0
2026-09-20 10:29:23,DT-001,NORMAL,30.06,61.11,44.39,99.86,17.6,NORMAL,0
2026-09-20 10:29:24,DT-001,NORMAL,27.63,60.8,44.44,99.85,20.14,NORMAL,0
2026-09-20 10:29:25,DT-001,NORMAL,26.06,58.67,43.58,99.84,17.74,NORMAL,0
2026-09-20 10:29:26,DT-001,NORMAL,29.08,55.96,43.63,99.84,17.55,NORMAL,0
2026-09-20 10:29:27,DT-001,NORMAL,31.84,54.56,43.58,99.84,16.7,NORMAL,0
2026-09-20 10:29:28,DT-001,NORMAL,32.09,53.26,43.58,99.84,17.48,NORMAL,0
2026-09-20 10:29:29,DT-001,NORMAL,33.78,50.7,43.89,99.84,16.04,NORMAL,0
2026-09-20 10:29:30,DT-001,NORMAL,34.35,48.68,42.95,99.83,15.06,NORMAL,0
2026-09-20 10:29:31,DT-001,NORMAL,34.56,47.52,42.78,99.82,17.91,NORMAL,0
2026-09-20 10:29:32,DT-001,NORMAL,35.27,45.82,42.35,99.82,17.03,NORMAL,0
2026-09-20 10:29:33,DT-001,NORMAL,36.1,43.7,42.05,99.81,20.01,NORMAL,0
2026-09-20 10:29:34,DT-001,NORMAL,33.95,42.49,42.47,99.8,22.06,NORMAL,0
2026-09-20 10:29:35,DT-001,NORMAL,31.7,43.44,42.52,99.79,24.48,NORMAL,0
2026-09-20 10:29:36,DT-001,NORMAL,28.87,44.24,41.98,99.78,26.4,NORMAL,0
2026-09-20 10:29:37,DT-001,NORMAL,26.91,42.4,41.86,99.78,26.33,NORMAL,0
2026-09-20 10:29:38,DT-001,NORMAL,25.62,42.64,41.33,99.78,27.89,NORMAL,0
2026-09-20 10:29:39,DT-001,NORMAL,23.86,42.1,40.88,99.78,28.56,NORMAL,0
2026-09-20 10:29:40,DT-001,NORMAL,23.18,42.76,40.86,99.77,25.06,NORMAL,0
2026-09-20 10:29:41,DT-001,NORMAL,25.93,43.94,40.84,99.76,25.0,NORMAL,0
2026-09-20 10:29:42,DT-001,NORMAL,24.33,42.86,41.33,99.76,26.45,NORMAL,0
2026-09-20 10:29:43,DT-001,NORMAL,23.33,41.67,40.63,99.75,27.88,NORMAL,0
2026-09-20 10:29:44,DT-001,NORMAL,24.65,40.26,41.18,99.74,29.66,NORMAL,0
2026-09-20 10:29:45,DT-001,NORMAL,27.24,38.52,41.41,99.74,31.02,NORMAL,0
2026-09-20 10:29:46,DT-001,NORMAL,29.49,39.79,40.93,99.73,27.8,NORMAL,0
2026-09-20 10:29:47,DT-001,NORMAL,31.47,38.81,41.29,99.72,25.97,NORMAL,0
2026-09-20 10:29:48,DT-001,NORMAL,29.86,37.21,40.72,99.72,27.34,NORMAL,0
2026-09-20 10:29:49,DT-001,NORMAL,28.68,38.0,40.5,99.71,26.8,NORMAL,0
2026-09-20 10:29:50,DT-001,NORMAL,26.73,39.9,39.99,99.7,24.85,NORMAL,0
2026-09-20 10:29:51,DT-001,NORMAL,26.71,40.73,39.72,99.69,24.43,NORMAL,0
2026-09-20 10:29:52,DT-001,NORMAL,27.45,39.77,40.05,99.69,26.29,NORMAL,0
2026-09-20 10:29:53,DT-001,NORMAL,28.89,40.67,40.29,99.69,23.34,NORMAL,0
2026-09-20 10:29:54,DT-001,NORMAL,28.08,39.93,40.76,99.68,21.92,NORMAL,0
2026-09-20 10:29:55,DT-001,NORMAL,27.78,39.59,40.39,99.68,21.3,NORMAL,0
2026-09-20 10:29:56,DT-001,NORMAL,28.96,41.08,40.52,99.68,21.43,NORMAL,0
2026-09-20 10:29:57,DT-001,FAULT,31.05,41.26,82.7,99.68,20.97,HIGH_TEMPERATURE,1
2026-09-20 10:29:58,DT-001,FAULT,34.79,42.2,91.92,99.67,20.96,HIGH_TEMPERATURE,1
2026-09-20 10:29:59,DT-001,FAULT,37.25,42.88,78.54,99.67,19.24,HIGH_TEMPERATURE,1
2026-09-20 10:30:00,DT-001,FAULT,39.88,43.85,82.28,99.67,20.02,HIGH_TEMPERATURE,1
2026-09-20 10:30:01,DT-001,FAULT,39.39,42.55,94.94,99.67,21.37,HIGH_TEMPERATURE,1
2026-09-20 10:30:02,DT-001,FAULT,42.29,41.12,83.48,99.66,18.8,HIGH_TEMPERATURE,1
2026-09-20 10:30:03,DT-001,FAULT,45.28,42.1,98.9,99.65,19.44,HIGH_TEMPERATURE,1
2026-09-20 10:30:04,DT-001,FAULT,48.08,42.68,97.74,99.64,19.75,HIGH_TEMPERATURE,1
2026-09-20 10:30:05,DT-001,FAULT,49.27,41.54,89.47,99.64,21.21,HIGH_TEMPERATURE,1
2026-09-20 10:30:06,DT-001,FAULT,46.82,39.87,89.88,99.64,20.12,HIGH_TEMPERATURE,1
2026-09-20 10:30:07,DT-001,FAULT,45.76,40.58,89.94,99.63,19.61,HIGH_TEMPERATURE,1
2026-09-20 10:30:08,DT-001,NORMAL,43.76,41.98,85.06,99.63,21.57,NORMAL,0
2026-09-20 10:30:09,DT-001,NORMAL,41.73,40.0,80.34,99.62,23.32,NORMAL,0
2026-09-20 10:30:10,DT-001,NORMAL,40.12,40.89,76.38,99.61,21.48,NORMAL,0
2026-09-20 10:30:11,DT-001,NORMAL,38.76,39.11,72.5,99.61,20.82,NORMAL,0
2026-09-20 10:30:12,DT-001,NORMAL,37.71,37.86,69.43,99.61,20.16,NORMAL,0
2026-09-20 10:30:13,DT-001,NORMAL,34.39,38.58,65.96,99.6,17.72,NORMAL,0
2026-09-20 10:30:14,DT-001,NORMAL,32.39,38.1,63.74,99.6,19.31,NORMAL,0
2026-09-20 10:30:15,DT-001,NORMAL,30.81,36.79,60.68,99.59,22.08,NORMAL,0
2026-09-20 10:30:16,DT-001,NORMAL,31.54,38.12,58.83,99.59,24.3,NORMAL,0
2026-09-20 10:30:17,DT-001,NORMAL,28.8,37.06,56.41,99.58,24.21,NORMAL,0
2026-09-20 10:30:18,DT-001,NORMAL,30.0,38.31,54.29,99.57,25.13,NORMAL,0
2026-09-20 10:30:19,DT-001,NORMAL,31.72,40.15,52.29,99.57,23.6,NORMAL,0
2026-09-20 10:30:20,DT-001,NORMAL,34.02,39.77,51.37,99.57,24.27,NORMAL,0
2026-09-20 10:30:21,DT-001,NORMAL,31.47,40.77,50.74,99.57,21.8,NORMAL,0
2026-09-20 10:30:22,DT-001,NORMAL,32.85,40.14,49.56,99.56,21.65,NORMAL,0
2026-09-20 10:30:23,DT-001,NORMAL,34.45,41.29,48.04,99.55,22.22,NORMAL,0
2026-09-20 10:30:24,DT-001,NORMAL,35.13,40.93,47.57,99.54,20.75,NORMAL,0
2026-09-20 10:30:25,DT-001,NORMAL,34.82,40.78,46.72,99.54,19.43,NORMAL,0
2026-09-20 10:30:26,DT-001,NORMAL,36.12,39.21,46.6,99.53,19.29,NORMAL,0
2026-09-20 10:30:27,DT-001,NORMAL,34.86,37.59,46.44,99.53,17.81,NORMAL,0
2026-09-20 10:30:28,DT-001,NORMAL,33.51,39.2,46.09,99.53,15.38,NORMAL,0
2026-09-20 10:30:29,DT-001,NORMAL,30.92,40.07,45.46,99.52,16.88,NORMAL,0
2026-09-20 10:30:30,DT-001,NORMAL,30.78,41.12,44.33,99.52,18.22,NORMAL,0
2026-09-20 10:30:31,DT-001,NORMAL,31.14,40.91,43.94,99.51,19.73,NORMAL,0
2026-09-20 10:30:32,DT-001,NORMAL,32.12,40.0,43.19,99.51,18.1,NORMAL,0
2026-09-20 10:30:33,DT-001,NORMAL,32.1,40.94,42.42,99.51,18.2,NORMAL,0
2026-09-20 10:30:34,DT-001,NORMAL,34.47,40.94,41.86,99.51,16.73,NORMAL,0
2026-09-20 10:30:35,DT-001,NORMAL,32.29,39.09,41.73,99.51,19.62,NORMAL,0
2026-09-20 10:30:36,DT-001,NORMAL,33.13,37.84,42.08,99.5,21.67,NORMAL,0
2026-09-20 10:30:37,DT-001,NORMAL,32.65,37.84,41.42,99.5,23.88,NORMAL,0
2026-09-20 10:30:38,DT-001,NORMAL,34.12,37.7,40.67,99.5,21.08,NORMAL,0
2026-09-20 10:30:39,DT-001,NORMAL,34.05,37.22,41.31,99.49,22.4,NORMAL,0
2026-09-20 10:30:40,DT-001,NORMAL,35.22,36.51,41.21,99.49,21.85,NORMAL,0
2026-09-20 10:30:41,DT-001,NORMAL,37.34,36.16,41.27,99.48,22.97,NORMAL,0
2026-09-20 10:30:42,DT-001,NORMAL,35.03,35.5,41.37,99.48,20.91,NORMAL,0
2026-09-20 10:30:43,DT-001,NORMAL,31.84,35.78,41.37,99.48,19.37,NORMAL,0
2026-09-20 10:30:44,DT-001,NORMAL,32.75,36.03,41.5,99.47,20.98,NORMAL,0
2026-09-20 10:30:45,DT-001,NORMAL,33.35,37.99,41.24,99.46,21.68,NORMAL,0
2026-09-20 10:30:46,DT-001,NORMAL,34.78,36.65,40.64,99.46,22.86,NORMAL,0
2026-09-20 10:30:47,DT-001,NORMAL,33.16,35.63,40.85,99.45,24.96,NORMAL,0
2026-09-20 10:30:48,DT-001,NORMAL,32.81,34.56,40.1,99.45,23.51,NORMAL,0
2026-09-20 10:30:49,DT-001,NORMAL,30.32,36.77,40.57,99.44,25.59,NORMAL,0
2026-09-20 10:30:50,DT-001,NORMAL,31.22,36.26,39.85,99.44,24.87,NORMAL,0
2026-09-20 10:30:51,DT-001,NORMAL,33.34,35.49,39.99,99.43,24.34,NORMAL,0
